Month_Year,Recreation_education_and_reading,Goods,Household_operations_furnishings_equipment,All_items_excluding_food_and_energy,Health_and_personal_care,All_items_excluding_energy,All_items,Transportation,Shelter,Services,Food,Alcoho_tobacco_cannabis,Energy,Gasoline,Total_Vehicle_Thefts,Clothing_footwear
January.2014,104.7,114.2,114.7,117.3,118.3,120.1,123.1,129.2,130.5,131.9,133,140.9,160.2,179.5,228,89.2
February.2014,106.4,115.6,115.3,118.2,118.4,121,124.1,130.8,130.7,132.5,134.3,142.9,162.6,183.7,253,91
March.2014,106.5,117,115.7,118.6,118.1,121.5,124.8,131.7,131.4,132.5,134.4,145.3,167.2,189.2,309,94
April.2014,106.2,117.5,115.5,118.8,118.9,121.6,125.2,132.2,132.4,132.9,134.6,145.1,171.2,193.2,309,95
May.2014,107.8,117.9,115.8,119.1,119.2,122.1,125.8,132.7,132.6,133.6,135.7,146.2,172.7,194.8,304,94.5
June.2014,108.2,117.8,116.4,119.1,119,122.2,125.9,133.1,132.2,133.9,136.4,146.7,173,198.7,249,92.7
July.2014,108.9,117.1,116.3,118.9,118.9,122.1,125.7,131.5,132.6,134.2,136.5,147.1,171.9,195,356,91.8
August.2014,109.4,116.7,117.5,119.4,119.2,122.4,125.7,130.8,132.4,134.7,135.9,148.4,168.3,188.8,344,92.1
September.2014,109.6,116.9,117.6,119.7,119.3,122.6,125.8,130,132.5,134.8,135.5,148.5,167.4,187.2,315,95.6
October.2014,108.7,116.9,118.1,120.2,118.8,122.9,125.9,129.9,132.8,134.9,135.4,149.2,163.6,179.7,356,96.9
November.2014,106.8,116.2,118.2,119.8,119.9,122.9,125.4,127.7,132.8,134.5,136.9,149.4,156.5,166.2,349,94.7
December.2014,106.1,114.6,117.8,119.3,119.6,122.5,124.5,124.9,133,134.5,137.4,149.1,148.7,149.9,256,91.1
January.2015,105.6,114,118,119.5,120,122.9,124.3,122.4,133.1,134.7,139.1,149.9,139.5,131.3,216,91.1
February.2015,107.9,115.3,118.9,120.3,120.1,123.7,125.4,124.3,133.1,135.5,139.5,150.3,145.1,143.7,201,93.3
March.2015,108.7,117,119.4,121,119.5,124.3,126.3,126.6,133.3,135.6,139.5,150.7,149.8,152.8,271,96.4
April.2015,107.7,116.7,119.7,121,120.1,124.3,126.2,126.6,133.1,135.6,139.4,151.4,148.1,152.6,277,96.2
May.2015,109.9,117.6,119.7,121.3,120.7,124.8,126.9,128,133.2,136.2,140.8,151.9,152.4,161,255,95
June.2015,110.6,118,120,121.3,120.5,124.8,127.2,129.6,133.5,136.5,141,152.1,157.5,170.6,284,93
July.2015,111.2,117.9,120.1,121.3,120.6,124.8,127.3,129.2,133.8,136.8,140.9,152.2,159.2,171.3,266,93
August.2015,111.7,117.5,120.4,121.5,120.5,124.9,127.3,127.8,133.9,137.1,140.8,152.6,156.1,165.1,309,94
September.2015,112.3,116.8,120.5,121.9,120.7,125.2,127.1,125.4,133.9,137.4,140.3,152.9,149.3,152.1,283,96.7
October.2015,110.8,117.1,120.6,122.2,120.7,125.5,127.2,125.8,134.3,137.4,140.9,152.9,146.6,149,338,97.7
November.2015,108.8,117.3,119.8,121.9,121.6,125.4,127.1,126.3,134.4,136.9,141.6,153.8,146.5,148.6,319,96.7
December.2015,107.9,116.3,119.6,121.3,121,125,126.5,125.6,134.5,136.8,142.5,153.5,143.4,142.7,266,91.7
January.2016,107.9,116.6,120,121.6,121.5,125.6,126.8,125.1,134.6,137,144.6,154.5,139,134.1,266,90.8
February.2016,109.6,116.5,121,122.3,121.5,126.2,127.1,123.7,134.7,137.7,145,155.2,134.6,124.9,219,92.1
March.2016,110.9,117.8,121.4,123.1,121.4,126.9,127.9,125.3,134.8,138,144.5,156.2,138.1,132,292,96
April.2016,110.3,118.6,121.6,123.3,122.2,126.9,128.3,127.8,134.9,138,143.8,156.5,143.4,143.7,225,96
May.2016,111.7,118.9,122.1,123.8,122.3,127.2,128.8,129.4,135.1,138.8,143.3,156.8,146.9,149.6,249,96
June.2016,112,119.1,122.4,123.9,122.2,127.3,129.1,131,135.6,139.1,142.8,156.7,150.6,156.1,297,94.1
July.2016,113.3,118.2,122.3,123.8,122,127.2,128.9,128.9,136,139.7,143.2,157.1,147.4,147.4,333,92.6
August.2016,112.9,117.9,122.2,123.8,122.7,127.1,128.7,128.2,136.2,139.6,142.3,157.3,147,146.1,267,93.6
September.2016,113.8,117.8,121.9,124.3,122.4,127.2,128.8,128.3,136.2,139.9,140.4,157.7,147.3,147.3,316,96.8
October.2016,112.4,118.3,122.1,124.5,122.8,127.3,129.1,129.6,136.9,139.9,139.9,158.1,150.2,152.7,340,97.5
November.2016,111.1,117.6,121.6,124,122.9,127,128.6,128.1,137.2,139.6,140.6,158,146.8,146.1,280,95.5
December.2016,110.2,117.4,121.3,123.5,122.6,126.6,128.4,129.4,137.3,139.5,140.6,157.8,149.1,150.6,264,91.9
January.2017,111.3,118.9,121.4,124.3,123.4,127.3,129.5,133,137.8,140.2,141.5,158.7,155.8,161.7,238,91.1
February.2017,113.2,118.7,121.7,124.8,123.3,127.8,129.7,131.9,137.6,140.7,141.7,159.2,151.1,153.7,233,92.9
March.2017,114.9,118.8,121.4,125.2,123.5,128.2,129.9,131.1,137.7,141.1,141.8,159.7,149.8,152,287,95.1
